platform,post_id,title,url,publish_date,views,likes,comments
xiaohongshu,m_01,通勤路上的播客清单,https://example.com/m_01,2026-06-30,1550,150,50
xiaohongshu,m_02,出租屋窗帘遮光改造,https://example.com/m_02,2026-06-30,1550,150,50
xiaohongshu,m_03,平价磨豆机横评,https://example.com/m_03,2026-06-30,1550,150,50
xiaohongshu,m_04,周末徒步路线推荐,https://example.com/m_04,2026-06-30,1550,150,50
xiaohongshu,m_05,记账 App 使用心得,https://example.com/m_05,2026-06-30,1550,150,50
xiaohongshu,m_06,绿植浇水频率指南,https://example.com/m_06,2026-06-30,1550,150,50
xiaohongshu,m_07,笔记本电脑清灰教程,https://example.com/m_07,2026-06-30,1550,150,50
xiaohongshu,m_08,泡面神仙吃法合集,https://example.com/m_08,2026-06-30,1550,150,50
xiaohongshu,m_09,旧 T 恤改造购物袋,https://example.com/m_09,2026-06-30,1550,150,50
xiaohongshu,m_10,地铁通勤穿搭心得,https://example.com/m_10,2026-06-30,1550,150,50
xiaohongshu,m_11,居家健身拉伸流程,https://example.com/m_11,2026-06-30,1550,150,50
xiaohongshu,m_12,手机存储清理技巧,https://example.com/m_12,2026-06-30,1550,150,50
xiaohongshu,m_13,阳台晾晒动线改造,https://example.com/m_13,2026-06-30,1550,150,50
xiaohongshu,m_14,应试笔记整理方法,https://example.com/m_14,2026-06-30,1550,150,50
xiaohongshu,m_15,超市采购清单模板,https://example.com/m_15,2026-06-30,1550,150,50
xiaohongshu,m_16,二手书卖出心得,https://example.com/m_16,2026-06-30,1550,150,50
xiaohongshu,m_17,键盘污渍清洁实测,https://example.com/m_17,2026-06-30,1550,150,50
xiaohongshu,m_18,玄关钥匙收纳方案,https://example.com/m_18,2026-06-30,1550,150,50
xiaohongshu,old_high,三年前写的租房避坑大全（累计高、日均低的老帖）,https://example.com/old_high,2025-10-01,5200,600,200
xiaohongshu,new_fast,上周发的冰箱收纳新帖（累计低、日均高）,https://example.com/new_fast,2026-09-12,3200,600,200
